user_id,event_id,timestamp,product_code
1,z,2025-03-19 10:00:00,PyCharm
1,a,2025-03-19 10:05:00,PyCharm
1,z,2025-03-19 10:13:00,PyCharm
1,x,2025-03-19 10:17:00,PyCharm
1,b,2025-03-19 10:18:00,PyCharm
1,c,2025-03-19 10:20:00,PyCharm
1,y,2025-03-19 10:25:00,PyCharm
1,c,2025-03-19 10:26:00,PyCharm
2,b,2025-03-14 10:00:00,VSCode
2,z,2025-03-14 10:09:00,VSCode
2,x,2025-03-14 10:17:00,VSCode
2,c,2025-03-14 10:25:00,VSCode
2,a,2025-03-14 10:29:00,VSCode
2,z,2025-03-14 10:38:00,VSCode
2,c,2025-03-14 10:42:00,VSCode
3,a,2025-03-15 10:00:00,VSCode
3,a,2025-03-15 10:02:00,VSCode
3,y,2025-03-15 10:10:00,VSCode
3,z,2025-03-15 10:14:00,VSCode
3,c,2025-03-15 10:21:00,VSCode
3,x,2025-03-15 10:26:00,VSCode
3,z,2025-03-15 10:29:00,VSCode
3,a,2025-03-15 10:39:00,VSCode
3,b,2025-03-15 10:45:00,VSCode
4,y,2025-03-16 10:00:00,VSCode
4,a,2025-03-16 10:06:00,VSCode
4,a,2025-03-16 10:08:00,VSCode
4,c,2025-03-16 10:18:00,VSCode
4,x,2025-03-16 10:28:00,VSCode
4,c,2025-03-16 10:36:00,VSCode
5,b,2025-03-18 10:00:00,VSCode
5,y,2025-03-18 10:08:00,VSCode
5,y,2025-03-18 10:13:00,VSCode
5,z,2025-03-18 10:21:00,VSCode
5,b,2025-03-18 10:22:00,VSCode
5,c,2025-03-18 10:23:00,VSCode
